P051511|Battery Temperature Sensor Circuit General Electrical Failures Circuit short to ground;
P051512|Battery Temperature Sensor Circuit General Electrical Failures Circuit short to battery;
P051513|Battery Temperature Sensor Circuit General Electrical Failures Circuit open;
C054600|VIN Not Programmed or Incompatible  ;
B116F2F|Telematics SIM card General Signal Failures Signal erratic;
B12EA04|Radio Frequency (RF) Receiver  System Internal Failures;
B178B11|E-Call Button General Electrical Failures Circuit short to ground;
B178B12|E-Call Button General Electrical Failures Circuit short to battery;
B178B13|E-Call Button General Electrical Failures Circuit open;
B178C11|Green LED General Electrical Failures Circuit short to ground;
B178C12|Green LED General Electrical Failures Circuit short to battery;
B178C95|Green LED Component Failures Incorrect assembly;
B178D11|Red LED General Electrical Failures Circuit short to ground;
B178D12|Red LED General Electrical Failures Circuit short to battery;
B178D95|Red LED Component Failures Incorrect assembly;
B1D7911|Microphone Input General Electrical Failures Circuit short to ground;
B1D7912|Microphone Input General Electrical Failures Circuit short to battery;
B1D7913|Microphone Input General Electrical Failures Circuit open;
"U102268|ECU Quiescent Current Too High, No Network Communication Requested Algorithm Based Failures Event information;"
U102A88|Connectivity CAN Bus Signal Bus Signal / Message Failures Bus off;
U103600|Lost UDP Communication with IHU  ;
U105104|WLAN Module  System Internal Failures;
U106111|LTE main antenna General Electrical Failures Circuit short to ground;
U106113|LTE main antenna General Electrical Failures Circuit open;
U106204|LTE Sub Antenna  System Internal Failures;
U106B00|Incompatible IP bus signal received from IHU  ;
U106E12|Backup Speaker General Electrical Failures Circuit short to battery;
U106E13|Backup Speaker General Electrical Failures Circuit open;
U10AB00|Incompatible IP Bus Signal Received From VGM  ;
U10AC18|Incompatible IP Bus Signal Received From DMM General Electrical Failures Bus Signal / Message Failures;
U10AD87|Incompatible IP Bus Signal Received From DVR Bus Signal / Message Failures Missing message;
U10AE87|Incompatible IP Bus Signal Received From PAS Bus Signal / Message Failures Missing message;
U10B000|VGM Not Connected On Ethernet  ;
U10B151|Immobilizer Key System Programming Failures Not programmed;
U10B286|Airbag Hardware Wire Bus Signal / Message Failures Signal invalid;
U210156|Control Module Configuration Incompatible System Programming Failures Invalid / incompatible configuration;
U210912|Back-up battery General Electrical Failures Circuit short to battery;
U210914|Back-up battery General Electrical Failures Circuit short to ground or open;
U210962|Back-up battery Algorithm Based Failures Signal compare failure;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U230057|Central Configuration System Programming Failures Invalid / Incompatible Software Component;
U240057|ECU Software System Programming Failures Invalid / Incompatible Software Component;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U2F0400|TCAM SQI  value to low  ;
U2F874A|DigitalKey P12 not programmed System Internal Failures Incorrect component installed;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
