P060100|Internal Control Module Memory Checksum Error  ;
P164200|CAN Link Circuit  ;
P179688|CAN Controller Circuit (Bus off) Bus Signal / Message Failures Bus off;
C054600|VIN Not Programmed or Incompatible  ;
B123811|Speaker Amplifier General Electrical Failures Circuit short to ground;
B123812|Speaker Amplifier General Electrical Failures Circuit short to battery;
B123813|Speaker Amplifier General Electrical Failures Circuit open;
B156301|Center Console Display (CCD) Backlight 1  General electrical failure;
B156313|Center Stack Display (CSD) Backlight 1 General Electrical Failures Circuit open;
B156316|Center Stack Display (CSD) Backlight 1 General Electrical Failures Circuit voltage below threshold;
B156317|Center Stack Display (CSD) Backlight 1 General Electrical Failures Circuit voltage above threshold;
B156B09|Center Console Display LVDS  Component Failures;
B156B11|Center Stack Display (CSD) LVDS General Electrical Failures Circuit short to ground;
B156B12|Center Stack Display (CSD) LVDS General Electrical Failures Circuit short to battery;
B156B13|Center Stack Display (CSD) LVDS General Electrical Failures Circuit open;
B156B87|Center Stack Display (CSD) LVDS Bus Signal / Message Failures Missing message;
B156B8F|Center Console Display LVDS Bus Signal / Message Failures Erratic;
B15FB11|AM/FM Tuner Connection General Electrical Failures Circuit short to ground;
B15FB12|AM/FM Tuner Connection General Electrical Failures Circuit short to battery;
B15FB13|AM/FM Tuner Connection General Electrical Failures Circuit open;
B15FD87|A2B Digital Microphone slave #1 Bus Signal / Message Failures Missing message;
B15FE87|A2B Digital Microphone slave #2 Bus Signal / Message Failures Missing message;
B15FF87|A2B Digital Microphone slave #3 Bus Signal / Message Failures Missing message;
B160087|A2B Digital Microphone slave #4 Bus Signal / Message Failures Missing message;
B160113|A2B Digital Microphone Host General Electrical Failures Circuit open;
B176E11|Video Chat Camera General Electrical Failures Circuit short to ground;
B176E13|Video Chat Camera General Electrical Failures Circuit open;
B177411|Antenna AM/FM #2 General Electrical Failures Circuit short to ground;
B177412|Antenna AM/FM #2 General Electrical Failures Circuit short to battery;
B177413|Antenna AM/FM #2 General Electrical Failures Circuit open;
B177501|Console Switch Display Module (CSDM) Backlight  General electrical failure;
B177601|Passenger Side Display (PSD) Backlight  General electrical failure;
B177A11|Speaker Amplifier #2 General Electrical Failures Circuit short to ground;
B177A12|Speaker Amplifier #2 General Electrical Failures Circuit short to battery;
B177A13|Speaker Amplifier #2 General Electrical Failures Circuit open;
B177B11|Speaker Amplifier #3 General Electrical Failures Circuit short to ground;
B177B12|Speaker Amplifier #3 General Electrical Failures Circuit short to battery;
B177B13|Speaker Amplifier #3 General Electrical Failures Circuit open;
B177C11|Speaker Amplifier #4 General Electrical Failures Circuit short to ground;
B177C12|Speaker Amplifier #4 General Electrical Failures Circuit short to battery;
B177C13|Speaker Amplifier #4 General Electrical Failures Circuit open;
B17DC4B|LCD Panel System Internal Failures Over temperature;
B17DF04|High Definition Map  System Internal Failures;
B17DF48|High Definition Map System Internal Failures Supervision software failure;
B1B3600|Right Front Outer Sensor  ;
B1B3800|Right Front Inner Sensor  ;
B1B4000|Left Front Outer Sensor  ;
B1B4200|Left Front Inner Sensor  ;
B1B4400|Right Rear Outer Sensor  ;
B1B4600|Right Rear Inner Sensor  ;
B1B4800|Left Rear Outer Sensor  ;
B1B5000|Left Rear Inner Sensor  ;
B1B5700|Front Sensors Power Circuit  ;
B1B5800|Rear Sensors Power Circuit  ;
U10009A|Certificate Component Failures Component or System Operating Conditions;
U100200|Data Integrity fault in NVM  ;
"U102268|ECU Quiescent Current Too High, No Network Communication Requested  Algorithm Based Failures Event information;"
U103011|Driver Information Module (DIM) LVDS General Electrical Failures Circuit short to ground;
U103013|Driver Information Module (DIM) LVDS General Electrical Failures Circuit open;
U108100|Incompatible IP bus Signal Received From TCAM  ;
U109111|Parking Assist System (PAS) LVDS General Electrical Failures Circuit short to ground;
U109113|Parking Assist System (PAS) LVDS General Electrical Failures Circuit open;
U109211|Digital Video Recorder (DVR) LVDS General Electrical Failures Circuit short to ground;
U109213|Digital Video Recorder (DVR) LVDS General Electrical Failures Circuit open;
U109411|Passenger Side Display (PSD) LVDS General Electrical Failures Circuit short to ground;
U109413|Passenger Side Display (PSD) LVDS General Electrical Failures Circuit open;
U10948F|Passenger Side Display (PSD) LVDS Bus Signal / Message Failures Erratic;
U109611|Console Switch Display Module (CSDM) LVDS General Electrical Failures Circuit short to ground;
U109613|Console Switch Display Module (CSDM) LVDS General Electrical Failures Circuit open;
U10968F|Console Switch Display Module (CSDM) LVDS Bus Signal / Message Failures Erratic;
U10AA00|Incompatible IP Bus Signal Received From ASDM  ;
