P161A86|Incorrect Response from Immobilizer Control Module Bus Signal / Message Failures Signal invalid;
C104D11|Trunk Liftgate Release Supply General Electrical Failures Circuit short to ground;
C104D12|Trunk Liftgate Release Supply General Electrical Failures Circuit short to battery;
C104D13|Trunk Liftgate Release Supply General Electrical Failures Circuit open;
C111A11|Right Stop Lamp General Electrical Failures Circuit short to ground;
C111A12|Right Stop Lamp General Electrical Failures Circuit short to battery;
C111A13|Right Stop Lamp General Electrical Failures Circuit open;
C111B11|Left Stop Lamp General Electrical Failures Circuit short to ground;
C111B12|Left Stop Lamp General Electrical Failures Circuit short to battery;
C111B13|Left Stop Lamp General Electrical Failures Circuit open;
C112011|Reversing lamp General Electrical Failures Circuit short to ground;
C112012|Reversing lamp General Electrical Failures Circuit short to battery;
C112013|Reversing lamp General Electrical Failures Circuit open;
C112018|Reversing lamp General Electrical Failures Circuit current below threshold;
C1A5616|Left Front Tire Pressure Sensor and Transmitter Assembly General Electrical Failures Circuit voltage below threshold;
C1A568F|Left Front Tire Pressure Sensor and Transmitter Assembly Bus Signal / Message Failures Erratic;
C1A5816|Right Front Tire Pressure Sensor and Transmitter Assembly General Electrical Failures Circuit voltage below threshold;
C1A588F|Right Front Tire Pressure Sensor and Transmitter Assembly Bus Signal / Message Failures Erratic;
C1A6016|Left Rear Tire Pressure Sensor and Transmitter Assembly General Electrical Failures Circuit voltage below threshold;
C1A608F|Left Rear Tire Pressure Sensor and Transmitter Assembly Bus Signal / Message Failures Erratic;
C1A6216|Right Rear Tire Pressure Sensor and Transmitter Assembly General Electrical Failures Circuit voltage below threshold;
C1A628F|Right Rear Tire Pressure Sensor and Transmitter Assembly Bus Signal / Message Failures Erratic;
B109A4A|Battery Backed-up Sounder BBS System Internal Failures Incorrect component installed;
B109B11|License Plate Lamp Supply Voltage General Electrical Failures Circuit short to ground;
B109B12|License Plate Lamp Supply Voltage General Electrical Failures Circuit short to battery;
B10A202|Crash Input  General signal failure;
B10A211|Crash Input General Electrical Failures Circuit short to ground;
B10A215|Crash Input General Electrical Failures Circuit short to battery or open;
B10A613|Support Battery Power Input General Electrical Failures Circuit open;
B10BE96|Solar Sensor Component Failures Component internal failure;
B10C524|Trunk unlock pull switch General Signal Failures Signal stuck high;
B10F311|Left front position light General Electrical Failures Circuit short to ground;
B10F312|Left front position light General Electrical Failures Circuit short to battery;
B10F313|Left front position light General Electrical Failures Circuit open;
B10F411|Right front position light General Electrical Failures Circuit short to ground;
B10F412|Right front position light General Electrical Failures Circuit short to battery;
B10F413|Right front position light General Electrical Failures Circuit open;
B10F511|Left Rear Position Lamp / Side Marker Lamp - Supply Voltage General Electrical Failures Circuit short to ground;
B10F512|Left Rear Position Lamp / Side Marker Lamp - Supply Voltage General Electrical Failures Circuit short to battery;
B10F513|Left Rear Position Lamp / Side Marker Lamp - Supply Voltage General Electrical Failures Circuit open;
B10F611|Right Rear Position Lamp / Side Marker Lamp - Supply Voltage General Electrical Failures Circuit short to ground;
B10F612|Right Rear Position Lamp / Side Marker Lamp - Supply Voltage General Electrical Failures Circuit short to battery;
B10F613|Right Rear Position Lamp / Side Marker Lamp - Supply Voltage General Electrical Failures Circuit open;
B111511|High Mounted Stop Lamp control General Electrical Failures Circuit short to ground;
B111512|High Mounted Stop Lamp control General Electrical Failures Circuit short to battery;
B111E11|Boot/Trunk Lamps General Electrical Failures Circuit short to ground;
B111E12|Boot/Trunk Lamps General Electrical Failures Circuit short to battery;
B113081|Light switch module Bus Signal / Message Failures Invalid serial data received;
B113082|Light switch module Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
B113083|Light switch module Bus Signal / Message Failures Value of signal protection calculation incorrect;
B113087|Light switch module Bus Signal / Message Failures Missing message;
B113C11|Hazard switch illumination General Electrical Failures Circuit short to ground;
B113C12|Hazard switch illumination General Electrical Failures Circuit short to battery;
B114711|Left Front Fog Lamp Supply Voltage General Electrical Failures Circuit short to ground;
